gen	onset.shape1	onset.shape2	duration.shape1	duration.shape2	lk	prior	post	mean.onset	variance.onset	mean.duration	variance.duration	true.onset.shape1	true.onset.shape2	true.durationshape1	true.durationshape2	true.mean.onset	true.variance.onset	true.mean.duration	true.variance.duration
5571	82.9874745143541	219.793755903604	98.086269246868	641.384826186528	-2003.50812867169	-30.4016093380016	-2033.90973800969	100.040640418583	87.2558978741159	35.1452210152295	10.9077433841031	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
5581	72.9562607819401	193.22591352231	98.086269246868	641.384826186528	-2004.67381802605	-30.4016093380016	-2035.07542736405	100.040640418583	99.2083550725152	35.1452210152295	10.9077433841031	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
5591	80.1376363546425	212.245910442515	67.6423911305705	492.624725590714	-2004.82140344176	-30.4016093380016	-2035.22301277976	100.040640418583	90.3482976697024	31.9891781966342	13.2780354038108	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
5601	75.8968888012537	201.014217490621	150.183229391216	1093.75157989852	-2005.83095403638	-30.4016093380016	-2036.23256337438	100.040640418583	95.378354507301	31.9891781966342	5.98627702527801	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
5611	75.8968888012537	201.014217490621	138.020425335529	892.405847873913	-2004.53916202773	-30.4016093380016	-2034.94077136573	100.040640418583	95.378354507301	35.489975805987	7.89572952515923	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
5621	89.1376327557992	242.401885415834	144.281610649575	932.889119645417	-2005.18767851122	-30.4016093380016	-2035.58928784922	98.1338096142847	78.7533345323625	35.7453862176727	7.66251779592032	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
5631	86.5197728708859	235.282847673425	146.68357138095	845.245179886152	-2006.38205741018	-30.4016093380016	-2036.78366674818	98.1338096142847	81.1288206881403	39.4634048429396	9.03799812104813	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
5641	93.6029646800522	254.544959491088	109.753882012	632.442603292685	-2005.65122718154	-30.4016093380016	-2036.05283651955	98.1338096142847	75.0071648914187	39.4634048429396	12.0749873899197	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
5651	112.533952346774	306.026101196622	82.75455546933	476.862462957162	-2004.57369896665	-30.4016093380016	-2034.97530830465	98.1338096142847	62.4191833770288	39.4634048429396	16.0075200954025	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
5661	118.222413623035	321.49536704821	73.614236343832	447.550919420127	-2002.86493622402	-30.4016093380016	-2033.26654556202	98.1338096142847	59.4225989246772	37.6946743157357	16.5437037790516	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
5671	118.38809944553	321.568571567734	71.8332735765763	446.762671140545	-2003.11546082123	-30.4016093380016	-2033.51707015923	98.2179817801094	59.4225989246772	36.9532887700344	16.3452534481084	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
5681	121.343685077454	329.596603559593	73.8437591660808	459.266763847653	-2003.32154254618	-30.4016093380016	-2033.72315188418	98.2179817801094	57.9784366731364	36.9532887700344	15.9010673654004	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
