gen	onset.shape1	onset.shape2	duration.shape1	duration.shape2	lk	prior	post	mean.onset	variance.onset	mean.duration	variance.duration
5080	102.675795424882	194.445448978916	1.22069202538911	20.3605101504185	-2039.50985259344	-30.4016093380016	-2069.91146193144	126.132567212696	101.06278263135	13.5109975780448	134.837384945393
5090	98.5447426999427	186.622140685735	1.13155507193669	19.6524436820271	-2038.58381383484	-30.4016093380016	-2068.98542317284	126.132567212696	105.284588365044	13.0047955781089	134.837384945393
5100	98.5447426999427	186.622140685736	1.31091681335515	21.7012392861272	-2039.13371472505	-30.4016093380016	-2069.53532406305	126.132567212696	105.284588365044	13.6073878714434	127.652043840201
5110	80.540114753194	151.899699723772	1.31091681335515	21.7012392861272	-2038.20257374758	-30.4016093380016	-2068.60418308558	126.472058803975	129.228683088725	13.5880483000848	127.289449419823
5120	79.4181893663676	149.783733911038	1.29066243641383	21.3659433496369	-2038.23757043963	-30.4016093380016	-2068.63917977763	126.472058803975	131.046341298294	13.5880483000848	129.202564261701
5130	78.1047518423459	149.867113649236	1.13842788872765	19.7788916050373	-2039.21585248689	-30.4016093380016	-2069.6174618249	125.051546869537	131.046341298294	13.0592263976368	135.189788145929
5140	86.3468907606232	166.542225819447	2.06209836576449	25.9660205409191	-2038.37052416478	-30.4016093380016	-2068.77213350278	124.626221775932	117.991965144452	17.6848962607436	135.669479259147
5150	81.3890191076417	156.979692957624	2.04908631012304	25.8925617373652	-2038.62900469215	-30.4016093380016	-2069.03061403016	124.626221775932	125.149504860533	17.6276867217847	135.669479259147
5160	73.408556718971	141.587315101632	1.85036331616537	23.731267593078	-2039.94157135101	-30.4016093380016	-2070.34318068901	124.626221775932	138.691890458686	17.3866483717101	145.852556278314
5170	69.0734504540187	134.079725458476	1.10667465025458	18.1768883763754	-2043.72967557238	-30.4016093380016	-2074.13128491039	124.102462599829	146.438954436887	13.8249968422	154.769512242143
5180	74.4939655151611	144.237822326637	1.58669696305058	21.4552189369817	-2039.84193036199	-30.4016093380016	-2070.24353969999	124.308851865188	136.166189574238	16.5743124588927	154.504427901522
5190	86.7478279679274	167.964179529589	1.28311641059487	19.4680561234703	-2038.23943942732	-30.4016093380016	-2068.64104876532	124.308851865188	117.006786546944	14.8827620005431	154.504427901522
5200	91.9889729587004	178.112267830962	1.63755271355344	21.7641860038461	-2037.65578109312	-30.4016093380016	-2068.05739043112	124.308851865188	110.364822350504	16.8425281350314	154.504427901522
5210	103.229532548248	199.876632578052	1.88827126501822	25.4267156686878	-2038.63296076779	-30.4016093380016	-2069.03457010579	124.308851865188	98.386825753191	16.638857630438	131.660811717983
5220	90.3143637154654	174.869830825201	1.68439636112006	22.6814166698443	-2037.61605378005	-30.4016093380016	-2068.01766311805	124.308851865188	112.403519414003	16.638857630438	146.968447608008
5230	86.6934546728764	167.858900053371	1.37313929239542	20.7948293099121	-2038.26743341815	-30.4016093380016	-2068.66904275615	124.308851865188	117.079884905789	14.9090103276885	145.294923441787
5240	91.044177571138	176.06850108656	1.42048635657003	21.1216140147091	-2037.74821096818	-30.4016093380016	-2068.14982030618	124.408639007551	111.638300463437	15.160820871591	145.174473978876
5250	84.4754445988732	163.365360706596	2.42133196191246	27.4364654646232	-2039.69744467001	-30.4016093380016	-2070.09905400802	124.408639007551	120.284306833446	19.5108682602724	139.785491135032
5260	85.2182260128345	164.801810721084	2.50433734167583	27.8454175253945	-2040.0655632333	-30.4016093380016	-2070.4671725713	124.408639007551	119.240058154292	19.8526127165442	139.785491135032
5270	91.5257585600198	176.999820860391	2.16846219551395	25.7788254316256	-2038.70988539679	-30.4016093380016	-2069.11149473479	124.408639007551	111.053072745118	18.6677604581827	143.115882501786
5280	85.1353717370091	164.641580506013	2.16846219551395	25.7788254316256	-2038.88573854255	-30.4016093380016	-2069.28734788055	124.408639007551	119.355640581511	18.6677604581827	143.115882501786
5290	78.8711105490581	155.802729095783	2.53098519941326	27.5945047611213	-2040.11460730448	-30.4016093380016	-2070.51621664249	122.672196415137	126.13569653301	20.3591073566967	145.189184879184
5300	77.1837697053852	149.877365507213	1.97770580424498	25.5027424761603	-2039.18540243896	-30.4016093380016	-2069.58701177696	124.07264640903	131.072286053869	17.3389975569648	136.121381267255
5310	77.1837697053852	149.877365507213	1.97770580424498	25.5027424761603	-2039.18540243896	-30.4016093380016	-2069.58701177696	124.07264640903	131.072286053869	17.3389975569648	136.121381267255
5320	94.2649082274304	183.045945525005	1.83974844555636	23.7698779399299	-2037.61500391083	-30.4016093380016	-2068.01661324883	124.07264640903	107.406858012609	17.3077778484186	145.449540833115
5330	93.938762462664	181.14427486413	1.55133499203786	20.0435246969487	-2039.01479349997	-30.4016093380016	-2069.41640283797	124.644720489032	108.514514049068	17.2666810989547	170.481239477251
5340	87.6655943107699	169.047580526399	1.60372180997592	20.3460900999775	-2039.4538874714	-30.4016093380016	-2069.8554968094	124.644720489032	116.249456985026	17.5611073787746	170.481239477251
5350	91.5533348801294	176.544400027043	2.30520457960315	29.2456583079023	-2039.01894617932	-30.4016093380016	-2069.42055551732	124.644720489032	111.33135937782	17.5611073787746	120.196886752284
5360	104.231957968977	200.992880350783	1.89058322987362	26.7459382147944	-2040.01968034755	-30.4016093380016	-2070.42128968555	124.644720489032	97.83339848293	15.8682562591635	120.196886752284
5370	99.5579700642554	191.979922041256	1.46547594514637	20.9790305558008	-2037.67134481504	-30.4016093380016	-2068.07295415304	124.644720489032	102.41072162338	15.693589894587	150.386975376173
5380	99.5579700642554	191.979922041256	1.46547594514637	20.9790305558008	-2037.67134481504	-30.4016093380016	-2068.07295415304	124.644720489032	102.41072162338	15.693589894587	150.386975376173
5390	87.6028363650878	168.926562937232	1.62031944140277	23.1956936474665	-2037.78056196153	-30.4016093380016	-2068.18217129953	124.644720489032	116.332413751093	15.693589894587	136.572150383074
5400	87.6028363650878	168.926562937232	1.21457407808802	19.8439934805084	-2038.30745284498	-30.4016093380016	-2068.70906218298	124.644720489032	116.332413751093	13.8627326485201	142.339506665423
5410	83.4740750274604	156.73402233281	1.34477595694761	22.5464178357451	-2038.81047488152	-30.4016093380016	-2069.21208421953	126.84017616328	125.23723018032	13.4054249354612	121.043942226268
5420	83.4740750274604	156.73402233281	1.34477595694761	22.5464178357451	-2038.81047488152	-30.4016093380016	-2069.21208421953	126.84017616328	125.23723018032	13.4054249354612	121.043942226268
5430	83.4740750274604	156.73402233281	1.34477595694761	22.5464178357451	-2038.81047488152	-30.4016093380016	-2069.21208421953	126.84017616328	125.23723018032	13.4054249354612	121.043942226268
5440	82.3721778886408	156.813058980731	1.84244105170605	26.0580683099881	-2038.78025248634	-30.4016093380016	-2069.18186182434	125.701089761548	125.23723018032	15.8023687000199	122.204584990837
5450	76.1776334565778	145.020418719391	1.12526536232128	20.4517089378341	-2038.76433804548	-30.4016093380016	-2069.16594738349	125.701089761548	135.375326206291	12.4797282133584	125.377373762168
5460	66.726574535605	127.028306601044	1.07656472807521	19.895886180683	-2040.98806560712	-30.4016093380016	-2071.38967494512	125.701089761548	154.451244662868	12.2837701397107	126.913552374607
5470	66.726574535605	127.028306601044	1.07656472807521	19.895886180683	-2040.98806560712	-30.4016093380016	-2071.38967494512	125.701089761548	154.451244662868	12.2837701397107	126.913552374607
5480	70.1705667725076	130.943863752273	1.43186198468021	25.9927394008257	-2039.58649904324	-30.4016093380016	-2069.98810838124	127.351661465235	149.741464170933	12.4078237961257	98.3213301999292
5490	72.6720718581775	135.61187138253	1.43186198468021	25.9927394008257	-2039.49798577336	-30.4016093380016	-2069.89959511136	127.351661465235	144.611718836192	12.4078237961257	98.3213301999292
5500	76.7018036533346	143.131671712118	1.20539857502293	23.9752928359995	-2039.0622267196	-30.4016093380016	-2069.4638360576	127.351661465235	137.048564339125	11.3762153687717	98.3213301999292
5510	84.3196082080915	157.347101451248	1.11113062145701	22.100309872999	-2038.86963978492	-30.4016093380016	-2069.27124912292	127.351661465235	124.718016737201	11.3762153687717	106.318350024445
5520	84.3196082080915	157.347101451248	1.11113062145701	22.100309872999	-2038.86963978492	-30.4016093380016	-2069.27124912292	127.351661465235	124.718016737201	11.3762153687717	106.318350024445
5530	72.8947010591281	136.277343752947	1.11113062145701	22.100309872999	-2038.47655352252	-30.4016093380016	-2068.87816286052	127.19943485032	143.920650918024	11.3835024500398	106.454598955496
5540	77.1030707686075	146.25328346363	1.38192516266044	22.8954535687799	-2038.2276822765	-30.4016093380016	-2068.62929161451	125.998747281128	134.223336549793	13.6045101365019	121.310532305406
5550	77.1030707686075	146.25328346363	1.38192516266044	22.8954535687799	-2038.2276822765	-30.4016093380016	-2068.62929161451	125.998747281128	134.223336549793	13.6045101365019	121.310532305406
5560	77.1030707686075	146.25328346363	1.38192516266044	22.8954535687799	-2038.2276822765	-30.4016093380016	-2068.62929161451	125.998747281128	134.223336549793	13.6045101365019	121.310532305406
5570	84.2262914992872	159.76499460967	1.38192516266044	22.8954535687799	-2038.01929223665	-30.4016093380016	-2068.42090157465	125.998747281128	122.91807973858	13.6045101365019	121.310532305406
5580	88.0186167628249	166.95848270587	1.41851559255966	23.1745387946372	-2038.22645910972	-30.4016093380016	-2068.62806844772	125.998747281128	117.642783294687	13.785477732262	121.310532305406
5590	75.9402834180999	144.047645396476	1.41851559255966	23.1745387946372	-2038.35695362038	-30.4016093380016	-2068.75856295839	125.998747281128	136.269246029568	13.785477732262	121.310532305406
5600	76.1546019221531	144.454176350591	1.46825756295413	23.9871821160605	-2038.48971529653	-30.4016093380016	-2068.89132463453	125.998747281128	135.88748007146	13.785477732262	117.356093442469
5610	79.2569243493747	150.338829670115	1.46825756295413	23.9871821160605	-2038.31088609337	-30.4016093380016	-2068.71249543137	125.998747281128	130.591556506513	13.785477732262	117.356093442469
5620	81.8723654170391	155.299940038852	1.20588442737844	19.5468770410308	-2038.08623064484	-30.4016093380016	-2068.48783998285	125.998747281128	126.437279865753	13.8876885958695	143.720009148576
5630	95.4164601971501	180.991113080177	1.08343234935964	17.4474388874655	-2039.31225130539	-30.4016093380016	-2069.71386064339	125.998747281128	108.554564986923	13.9735301931475	160.998023942714
5640	74.6728693013457	141.643545608547	1.27315381508516	20.5026861124934	-2038.6277856736	-30.4016093380016	-2069.0293950116	125.998747281128	138.571485516566	13.9735301931475	138.059965516395
5650	74.6728693013457	141.643545608547	1.27315381508516	20.5026861124934	-2038.6277856736	-30.4016093380016	-2069.0293950116	125.998747281128	138.571485516566	13.9735301931475	138.059965516395
5660	74.6728693013457	141.643545608547	1.27315381508516	20.5026861124934	-2038.6277856736	-30.4016093380016	-2069.0293950116	125.998747281128	138.571485516566	13.9735301931475	138.059965516395
5670	78.3607350348439	148.638889206674	1.14295135739749	21.0848710316648	-2038.35100262526	-30.4016093380016	-2068.75261196326	125.998747281128	132.078544170313	12.289409256264	119.949024100771
